,tweets,sentiment
56,"#News #Sport #aremaniainfo #beritahariini #beritaterkini Mulai dari Rp350 Ribu, Panitia Sediakan 50 Ribu Tiket Formula E Jakarta"
57,"Gara-gara Hal Ini, PDIP Minta Balapan Formula E Jakarta Ditunda"
58,"tolong ya buat para buzzeRp. tolong dukung penyelenggaraan formula e di jakarta terlepas dr carut marutnya persiapannya. ini udh terlanjur, walau spt memaksakan tp nama baik Indonesia yg hrs kita jaga sama2. intinya sbrnya menjaga nama baik Jakarta dan Indonesia kok."
59,"Tiket Formula E msh dalam usula ko, yg penting Point nya itu Stadium JIS jelas ada dan Nyata bukan kaya Mobil Esemka, gk kek Kereta Cepat Jakarta gak smp Bandung."
60,"tong kosong!!😂 semua ada kontraknya, formula e itu kontrak 5 tahun, dan akan ada selama 5 tahun kedepan, dan bukan tidak mungkin akan ada ajang atau event lainnya, namanya juga jakarta, pusat indonesia, kemungkinan2 eo event2 lain untuk pakai pasti ada🙏👍👍👍"
61,"Panitia Jakarta E-Prix Formula E Umumkan Penjualan Tiket Mulai Rp350 Ribu, Sebaran Kelas Beragam  #FormulaE #PanitiaJakartaE-Prix #PenjualanTiket"
62,Badan Kehormatan menyatakan Ketua DPRD DKI Jakarta Prasetyo Edi Marsudi tidak melanggar kode etik terkait pelaksanaan rapat paripurna hak interpelasi Formula E #rapatinterpelasiformulae
63,"Segera min.Buat kosongin jadwal.. Booking hotel, tiket pesawat.. Sama nyiapin tabungan.. 😁"
64,"Dijual Mei, Harga Tiket Formula E Jakarta Mulai Rp350 Ribu hingga Jutaan Rupiah"
65,"Harga Tiket Formula E Jakarta Paling Murah Rp350 Ribu, Kapan Bisa Dibeli?"
66,Badan Kehormatan DPRD DKI Jakarta mengeluarkan hasil pemeriksaan Ketua DPRD DKI Prasetyo Edi Marsudi yang dilaporkan karena menggelar rapat paripurna penentuan interpelasi Formula E.
67,"Kapasitas 50 Ribu Orang, Tiket Formula E Jakarta Segera Dijual"
68,WAGUB DKI JAKARTA RIZA PATRIA: TRIBUN FORMULA E BISA TAMPUNG 10 RIBU PENONTON#FORMULAE #RIZAPATRIA #JAKARTA #NASIONAL
69,gada cuman pengumuman doang🤔
70,"Harga Tiket Formula E Jakarta Mulai Rp350.000, Bisa Dibeli Mei 2022"
71,Baca detik yg atas. Tanya aja ama detik jualnya dimana
72,jual dimana..? belom ada dimana-mana tuh..? 🤔
73,"Ya blom jadilah,  kan gw bilang blom jadi.. Mo bongkar pasang kek,  bongkar bangun bongkar terus juga.. Ga ada urusan... Udah berani aja jual tiket wkwk"
74,"ngomongin tribun apa ngaspal nih..? klo lu tanya soal tribun gw jawab sesuai pengetahuan gw..setau gw tribun, barier kanan-kiri sampe paddock itu disediain sama FEO, sistemnya knock down (bongkar pasang). Soal perkembangan sirkuit lo bisa tanya langsung ke"
75,"Rencananya, Formula E digelar di kawasan Ancol, Jakarta Utara pada 4 Juni 2022. Pengerjaan sirkuit telah dimulai sejak 3 Februari lalu. Sirkuit akan dibangun dengan panjang 2.400 meter dengan jumlah tikungan sebanyak 18 dan panjang trek lurus sekitar 527 meter."
76,"Di Jakarta itu, rata2 kbijakan dan program Pemprov DKI itu bnyk hubungannya dgn Sains &amp; Teknologi. Sprt Formula E, hubungannya dgn Fisika Listrik &amp; Mekanika. Sistem Integrasi Transportasi Publik Jak Lingko hubungannya dgn IT (Algoritma Dijkstra dan Database)"
77,"60 hari lagi sirkuit Formula E terpantau masih belum rampung meski sudah memasuki awal April 2022, kita tunggu alasan raja ngeles apa lagi, anggaran habis warga DKI Jakarta cuma PHP in doang.."
78,"Kapasitas Penonton Formula E Jakarta 50 Ribu, Penjualan Tiket Dimulai Bulan Mei"
79,Panitia Jakarta E-Prix Formula E menjual 50 ribu lembar tiket dengan harga terendah Rp.350 ribu. Gelaran balap mobil formula listrik itu akan dilaksanakan di Sirkuit Ancol Jakarta Utara pada 4 Juni 2022.
80,"RT : Panitia Formula E Jakarta mematok harga tiket termurah Rp350 ribu, lebih mahal dari MotoGP Mandalika"
81,Ajang balap Formula E Jakarta terhitung tinggal 60 hari lagi. Rencananya tiket Formula E akan dijual Mei mendatang.
82,"Digelar Meriah, Ahmad Sahroni: Tiket Penonton Formula E Jakarta Tetap 50.000"
83,Gw juga sebagai salah satu warga Jakarta juga bingung urusannya Formula E saja jangan 'dipaksakan' kalau memang tidak ada buktinya kemarin rumah dp0 tidak terbukti sekarang formula E kenapa takut sukses dan lancar ya....Demi jakarta dan Indonesia teruskan dan lanjutkan...
84,Panitia Jakarta E-Prix Formula E menjual 50 ribu lembar tiket dengan harga terendah Rp 350 ribu. Gelar balap mobil listrik itu akan digelar pada 4 Juni nanti.
85,"Jumlah penonton balapan mobil listrik Formula E 2022 di Sirkuit Ancol, Jakarta Utara, ditetapkan sebanyak 50 ribu orang."
86,Sebanyak 50 ribu tiket Formula E Jakarta sudah siap dijual dengan harga paling murah Rp350 ribu hingga jutaan rupiah.
87,Ahmad Sahroni: Kapasitas Penonton Formula E Jakarta Tetap 50 Ribu
88,"Panitia Formula E Jakarta mematok harga tiket termurah Rp350 ribu, lebih mahal dari MotoGP Mandalika"
89,"Ketua Panitia Komite Pelaksana Formula E Jakarta, Ahmad Sahroni mengungkapkan 50 ribu tiket siap dijual dengan harga mulai Rp 350 ribu hingga jutaan rupiah. Jakarta E-Prix di Ancol akan berlangsung 4 Juni 2022. #formulae #balapmobil #mobillistrik #eprix #ancol #jis #jakarta"
90,Tiket nonton balap mobil listrik Formula E Jakarta akan dijual dengan harga terendah Rp 350.000.Harga itu lebih mahal jika dibandingkan dengan tiket nonton MotoGP di sirkuit Mandalika pada bulan Maret lalu yang harga tiket termurahnya adalah Rp115.000.#SmartNews
91,"Terpopuler Suara Jakarta: Harga Tiket Formula E, Dea OnlyFans Dicecar 12 Pertanyaan"
92,"Ketua Komite Pelaksana Formula E Jakarta Ahmad Sahroni mengatakan, tiket #FormulaE Jakarta akan dijual dengan harga terendah Rp 350.000. Selain itu, tiket akan dijual oleh penyelenggara mulai Mei 2022 dengan jumlah tiket yang disediakan sebanyak 50.000 tiket.#MostUpdate1058"
93,Formula E jakarta bukan untuk tonton taoi untuk di ketawain
94,"Event yg sangat dipaksakan, istilah kata besok lomba skrg msh bangun sirkuitAjang balap Formula E Jakarta terhitung tinggal 60 hari lagi. Rencananya tiket Formula E akan dijual Mei mendatang."
95,"Ketua Komite Pelaksana Formula E Jakarta Ahmad Sahroni mengatakan, tiket Formula E Jakarta akan dijual dengan harga terendah Rp 350.000. - #Tiket #FormulaE #Jakarta #Kompascom #JernihkanHarapan"
96,"Tiket Formula E Jakarta Dijual Rp350.000, Lebih Mahal dari Tiket MotoGP Mandalika"
97,PANITIA FORMULA E JUAL 50.000 TIKET MULAI MEI 2022#FORMULAE #JAKARTA #NASIONAL
98,Penyelenggara Formula E Jakarta atau Jakarta E Prix bakal menjual tiket dengan harga termurah Rp 350 ribu. #TempoMetro
99,Penyelenggara Formula E Jakarta atau Jakarta E Prix bakal menjual tiket dengan harga termurah Rp 350 ribu.  #TempoVideo
100,"Panitia Jakarta E-Prix Formula E umumin harga tiket menonton balap mobil listrik 4 Juni 2022. Ketua Panitia Formula E, Ahmad Sahroni, bilang, panitia menjual 50 ribu lembar. Harga tiket Rp 350 ribu, sampai jutaan rupiah dng kelas beragam &amp; bisa dibeli Mei nanti. #mostupdate1058"
101,Terimakasih mas anis sangat bermanfaat ok ocenya .dp nol rupiahnya. .formula e nya .patung bambunya .udah cat tiang2 jalan layang ...tempat skateboardnya ..sangat berguna buat rakyat jakarta  ..lanjutkan mas anis ... !! Smg pak   sehat selalu dlm lindungan allah swt
102,"Panitia penyelenggara akhirnya mengungkapkan kisaran harga tiket nonton Formula E di sirkuit Ancol, Jakarta Utara. Berapa harganya?"
103,Keren! Formula E Jakarta akan menjual 50rb tiket mulai bulan Mei 2022 👍#Anies #AniesBaswedan
104,"Panitia penyelenggara Formula E Jakarta telah mengumumkan harga tiket ajang kejuaraan balap mobil listrik yang digelar di Ancol, Jakarta Utara, 4 Juni 2022. Simak di sini. #merahputihcom #FormulaE #mobillistrik"
105,"Iya jadwal sudah jelas, tapi tempat nya yg masih belum tau siap apa enggaknya😑"
106,Paling jg gak jadi
107,Hanya Manusia Berotak Picik Dan Goblok Yang Bersuara Minor Dengan Adanya Gelaran Formula E Di Jakarta .
108,Memang masih pada percaya akan ada gelaran formula e di Jakarta?
109,"50 ribu tiket Formula E Jakarta dijulai mulai Mei, segini harganya!"
110,"Colek  sama ketum .. klo gini mah diem baeeee... klo banjir Jakarta, macet Jakarta, Formula E... baruuuu rameee.."
111,"2 Bulan Lagi Formula E Jakarta Bakal Digelar, Pembangunan Sirkuit Belum Selesai-Ketidakjelasan Tiket #Nasional"
112,"Panitia penyelenggara Formula E Jakarta (Jakarta E-Prix) menyebutkan, minimal sebanyak 50.000 tiket siap dijual"
113,Harga Tiket Terendah Formula E Jakarta Dijual Rp 350 Ribu  via
114,"Gabener nya bakal ngumpet..wagub nya yg ngeles60 hari lagi sirkuit Formula E terpantau masih belum rampung meski sudah memasuki awal April 2022,  tunggu alasan raja ngeles apa lagi, anggaran habis warga DKI Jakarta cuma PHP in doang.."
115,Harga Tiket Terendah Formula E Jakarta Dijual Rp 350 Ribu
116,"Tiket Formula E Jakarta Dijual Mei Mendatang, Harganya Segini…"
117,"Ketua Komite Pelaksana Formula E Jakarta Ahmad Sahroni mengatakan, tiket Formula E Jakarta akan dijual dengan harga terendah Rp 350.000. Dia mengatakan, tiket akan dijual oleh penyelenggara mulai Mei 2022. / #Megapolitan #JernihkanHarapan"
118,"Sah!  Formula  E  Jakarta Digelar  4 Juni 2022,  Harga Tiket Mulai Rp350 Ribu"
119,Harga Tiket Formula E Jakarta Mulai Rp350 Ribu hingga Jutaan #Sindonews #BukanBeritaBiasa .
120,"Jakarta kejang nih.. bertaun"" buat formula e gak jadi"".. cma berhalusinasi saja.."
121,Ketua Komite Pelaksana Jakarta E-Prix 2022 Ahmad Sahroni memastikan kapasitas penonton Formula E tetap 50.000.
122,"Tiket Formula E Jakarta Mulai Dijual Mei Mendatang, Sebegini Harganya"
123,Panitia Formula E Jakarta Siapkan 50 Ribu Tiket Penonton
124,"Formula e jakarta tiketnya berapa duit ya wkwk, pen nonton jadinya"
125,"Bikin proyek Formula E Jakarta itu tidak seindah yang dibayangkan, Gabener. Perencanaannya tidak matang alias abal-abal.? 🤭"
126,"Tiket Formula E Jakarta Dijual Mei Mendatang, Harganya Segini…  #TiketFormulaEJakarta"
